time,Bx,By,Bz,BT
0.005632,-5.76,-22.58,-19.80,30.57
0.015652,-5.68,-22.31,-19.88,30.42
0.035891,-5.79,-22.58,-19.86,30.62
0.036246,-5.85,-22.56,-19.69,30.51
0.045104,-5.74,-22.56,-19.80,30.56
0.054451,-5.81,-22.26,-19.74,30.31
0.064454,-5.72,-22.26,-19.67,30.25
0.074963,-5.57,-22.48,-19.69,30.40
0.084597,-5.46,-22.29,-19.71,30.25
0.095501,-5.68,-22.35,-19.58,30.25
0.104404,-5.74,-22.29,-19.50,30.17
0.114554,-5.76,-22.37,-19.74,30.39
0.124418,-5.74,-22.35,-19.58,30.26
0.135022,-5.57,-22.56,-19.61,30.40
0.144454,-5.94,-22.56,-19.71,30.54
0.154527,-5.96,-22.31,-19.56,30.26
0.164786,-5.96,-22.78,-19.50,30.57
0.174868,-5.81,-22.67,-19.58,30.51
0.184558,-5.78,-22.67,-19.58,30.50
0.196365,-5.57,-22.50,-19.37,30.21
0.204394,-5.74,-22.54,-19.41,30.29
0.214911,-5.91,-22.63,-19.41,30.39
0.224368,-5.66,-22.67,-19.59,30.49
0.234538,-5.87,-22.65,-19.88,30.70
0.245652,-5.94,-22.28,-19.99,30.51
0.255369,-5.79,-22.31,-20.04,30.55
0.265220,-5.72,-22.24,-20.21,30.59
0.276284,-5.81,-22.37,-20.38,30.81
0.285722,-5.94,-22.11,-20.31,30.60
0.294926,-5.98,-21.98,-20.23,30.46
0.304535,-5.96,-21.90,-20.10,30.32
0.316268,-5.87,-22.05,-20.10,30.41
0.324458,-5.93,-22.29,-19.86,30.44
0.334575,-6.34,-22.24,-19.86,30.48
0.345461,-6.43,-22.35,-19.91,30.62
0.354586,-6.53,-22.31,-19.86,30.57
0.364969,-6.36,-22.59,-19.93,30.79
0.375192,-6.39,-22.65,-19.88,30.80
0.385756,-6.38,-22.67,-19.69,30.69
0.394671,-6.30,-22.52,-19.80,30.64
0.406614,-6.21,-22.59,-20.10,30.87
0.414830,-6.02,-22.74,-19.99,30.87
0.425103,-5.87,-22.74,-19.82,30.73
0.435301,-5.70,-22.67,-19.86,30.67
0.444832,-5.74,-22.67,-19.76,30.62
0.455498,-5.74,-22.58,-19.86,30.61
0.464840,-5.79,-22.67,-20.14,30.87
0.479933,-5.62,-22.86,-19.91,30.83
0.485527,-5.36,-22.73,-19.69,30.54
0.496199,-5.33,-22.73,-19.78,30.60
0.506205,-5.36,-22.54,-19.63,30.37
0.515769,-5.48,-22.43,-19.65,30.31
0.524858,-5.31,-22.43,-19.61,30.26
0.534731,-5.14,-22.46,-19.50,30.19
0.544378,-5.21,-22.43,-19.39,30.10
0.554524,-5.49,-22.29,-19.37,30.04
0.564389,-5.61,-22.14,-19.43,29.99
0.574442,-5.53,-21.98,-19.37,29.81
0.584392,-5.48,-22.01,-19.37,29.83
0.594822,-5.36,-22.37,-19.33,30.05
0.604489,-5.61,-22.22,-19.52,30.10
0.614533,-5.64,-22.37,-19.37,30.12
0.624572,-5.70,-22.28,-19.09,29.88
0.634537,-5.76,-22.35,-19.16,30.00
0.644528,-5.76,-22.35,-19.16,30.00
0.654865,-5.96,-22.44,-19.39,30.25
0.664927,-6.13,-22.44,-19.48,30.35
0.674850,-6.15,-22.05,-19.63,30.16
0.684380,-6.02,-22.05,-19.44,30.01
0.694864,-6.15,-22.05,-19.65,30.17
0.704534,-5.87,-22.12,-19.71,30.20
0.714609,-5.93,-22.14,-19.73,30.24
0.725384,-6.06,-22.41,-19.67,30.42
0.735302,-5.94,-22.43,-19.46,30.28
0.745700,-5.76,-22.52,-19.16,30.12
0.755802,-5.87,-22.78,-19.14,30.33
0.765069,-5.79,-22.78,-19.31,30.42
0.775764,-5.55,-22.74,-19.29,30.34
0.784162,-5.46,-22.71,-19.50,30.42
0.794728,-5.38,-22.58,-19.50,30.31
0.804533,-5.53,-22.46,-19.44,30.22
0.814785,-5.51,-22.52,-19.54,30.32
0.824475,-5.64,-22.43,-19.84,30.47
0.834713,-5.49,-22.54,-19.69,30.43
0.844449,-5.46,-22.73,-19.65,30.53
0.854840,-5.61,-22.58,-19.71,30.49
0.864496,-5.78,-22.48,-19.67,30.42
0.878299,-5.64,-22.46,-19.67,30.39
0.884432,-5.29,-22.24,-19.67,30.15
0.894826,-5.25,-22.03,-19.59,29.95
0.904550,-5.38,-22.05,-19.59,29.98
0.914747,-5.51,-21.98,-19.39,29.82
0.924468,-5.78,-21.86,-19.56,29.90
0.934700,-5.68,-21.86,-19.61,29.91
0.944783,-5.76,-21.86,-19.74,30.02
0.954598,-5.96,-22.09,-19.61,30.13
0.968475,-6.23,-22.14,-19.74,30.31
0.975558,-6.39,-22.44,-19.65,30.51
0.985713,-6.17,-22.58,-19.48,30.45
0.995606,-6.23,-22.56,-19.63,30.54
1.005010,-6.06,-22.63,-19.44,30.45
1.014474,-6.23,-22.63,-19.41,30.46
1.024528,-6.17,-22.69,-19.18,30.34
1.034717,-6.06,-22.43,-19.35,30.23
1.044628,-5.94,-22.41,-19.24,30.12
1.054607,-5.96,-22.07,-19.31,29.93
1.064563,-6.04,-21.90,-19.31,29.82
1.074807,-5.98,-21.75,-19.39,29.74
1.084301,-5.96,-21.69,-19.44,29.74
1.094655,-5.79,-21.94,-19.43,29.87
1.104363,-5.85,-22.01,-19.48,29.97
1.114559,-5.76,-22.22,-19.50,30.12
1.124358,-5.93,-22.16,-19.56,30.15
1.134689,-5.81,-22.24,-19.46,30.12
1.144609,-5.85,-22.44,-19.56,30.34
1.154527,-5.89,-22.65,-19.43,30.41
1.164488,-5.93,-22.73,-19.52,30.54
1.174884,-5.96,-22.61,-19.39,30.38
1.184257,-5.78,-22.56,-19.41,30.31
1.194733,-6.04,-22.50,-19.31,30.26
1.205787,-6.06,-22.71,-19.35,30.44
1.215262,-5.98,-22.95,-19.58,30.75
1.225508,-6.00,-22.89,-19.63,30.75
1.235693,-5.98,-22.69,-19.84,30.72
1.245010,-6.11,-22.50,-19.78,30.58
1.254969,-6.11,-22.44,-19.88,30.60
1.264704,-6.23,-22.59,-19.89,30.74
1.275071,-6.24,-22.52,-19.78,30.62
1.284217,-6.24,-22.56,-19.91,30.73
1.294842,-6.30,-22.41,-19.63,30.45
1.304706,-6.23,-22.28,-19.63,30.34
1.314657,-6.21,-22.43,-19.71,30.49
1.324330,-6.06,-22.31,-19.69,30.37
1.334807,-6.19,-22.29,-19.41,30.20
1.344501,-6.08,-22.12,-19.50,30.11
1.354581,-6.11,-22.31,-19.63,30.34
1.364354,-6.00,-21.99,-19.59,30.06
1.376446,-5.91,-22.07,-19.99,30.35
1.384306,-5.83,-21.99,-20.06,30.34
1.394715,-5.89,-21.73,-20.06,30.16
1.404832,-6.11,-21.64,-20.08,30.15
1.414753,-6.11,-21.60,-20.29,30.26
1.424490,-6.21,-21.66,-20.55,30.49
1.434496,-6.04,-21.47,-20.49,30.29
1.445540,-5.93,-21.79,-20.42,30.44
1.455371,-5.94,-21.66,-20.23,30.23
1.465476,-5.83,-21.75,-20.01,30.12
1.479674,-5.76,-21.88,-19.88,30.12
1.484904,-5.48,-22.24,-19.84,30.30
1.494709,-5.21,-22.22,-19.84,30.24
1.504550,-5.08,-22.18,-19.61,30.04
1.514672,-5.21,-22.18,-19.67,30.10
