time,gain
0.025,68.65
0.126,68.63
0.227,68.12
0.328,68.28
0.428,67.96
0.531,68.09
0.633,68.26
0.735,68.93
0.836,69.13
0.938,69.09
1.040,66.73
1.141,69.89
1.242,70.95
1.343,71.72
1.445,71.27
1.546,72.01
1.648,72.38
1.750,73.55
1.851,73.22
1.952,73.82
2.053,74.03
2.154,74.30
2.256,74.10
2.357,74.32
2.458,73.94
2.559,75.00
2.660,75.01
2.761,75.28
2.862,74.89
2.964,75.18
3.065,75.64
3.166,75.51
3.267,78.05
3.368,78.23
3.470,78.28
3.571,77.96
3.672,76.42
3.773,76.46
3.874,77.13
3.975,75.03
4.076,74.85
4.177,74.02
4.278,75.23
4.379,75.12
4.481,74.75
4.582,74.67
4.683,74.78
4.784,74.78
4.885,74.30
4.987,74.51
5.088,73.33
5.189,73.95
5.290,74.37
5.391,73.76
5.492,43.70
5.593,34.77
5.694,34.80
5.796,34.46
5.897,34.61
5.998,73.58
6.100,37.33
6.201,73.99
6.302,37.57
6.404,34.61
6.505,34.66
6.606,42.70
6.708,34.99
6.809,50.85
6.911,59.10
7.012,58.74
7.114,58.59
7.215,58.84
7.317,42.89
7.418,51.01
7.519,43.14
7.620,35.03
7.722,35.09
7.823,34.84
7.925,58.78
8.026,66.43
8.127,66.66
8.228,58.49
8.329,58.85
8.431,76.13
8.532,51.25
8.634,49.90
8.735,50.15
8.837,50.38
8.939,49.71
9.040,74.36
9.142,74.58
9.243,74.61
9.344,74.55
9.445,74.55
9.546,65.78
9.647,58.25
9.748,50.39
9.849,42.71
9.950,74.87
10.051,74.39
10.153,67.78
10.254,58.60
10.355,74.57
10.456,74.57
10.557,74.57
10.658,58.76
10.759,58.77
10.860,58.80
10.961,50.86
11.063,50.72
11.164,50.66
11.265,66.58
11.367,58.79
11.468,58.67
11.569,58.80
11.670,50.97
11.772,74.97
11.873,60.30
11.974,33.25
12.076,42.08
12.177,66.15
12.279,66.13
12.380,66.14
12.481,65.96
12.583,66.08
12.684,57.97
12.785,66.08
12.886,66.14
12.988,65.73
13.089,65.64
13.191,58.06
13.292,73.80
13.392,50.94
13.493,65.54
13.595,57.71
13.696,57.61
13.798,57.75
13.899,57.62
14.001,49.52
14.102,65.60
14.203,42.08
14.304,65.71
14.406,65.51
14.507,50.10
14.608,57.79
14.709,65.80
14.810,74.19
14.912,73.45
15.013,42.47
15.115,57.97
15.216,49.99
15.318,73.73
